,total_docks,year,month,weekday,max_temperature_f_x,mean_temperature_f_x,min_temperature_f_x,max_dew_point_f_x,mean_dew_point_f_x,min_dew_point_f_x,max_humidity_x,mean_humidity_x,min_humidity_x,max_sea_level_pressure_inches_x,mean_sea_level_pressure_inches_x,min_sea_level_pressure_inches_x,max_visibility_miles_x,mean_visibility_miles_x,min_visibility_miles_x,max_wind_Speed_mph_x,mean_wind_speed_mph_x,max_gust_speed_mph_x,precipitation_inches_x,cloud_cover_x,wind_dir_degrees_x,Fog_x,Fog-Rain_x,Normal_x,Rain_x,Rain-Thunderstorm_x,weekend,max_temperature_f_y,mean_temperature_f_y,min_temperature_f_y,max_dew_point_f_y,mean_dew_point_f_y,min_dew_point_f_y,max_humidity_y,mean_humidity_y,min_humidity_y,max_sea_level_pressure_inches_y,mean_sea_level_pressure_inches_y,min_sea_level_pressure_inches_y,max_visibility_miles_y,mean_visibility_miles_y,min_visibility_miles_y,max_wind_Speed_mph_y,mean_wind_speed_mph_y,max_gust_speed_mph_y,precipitation_inches_y,cloud_cover_y,wind_dir_degrees_y,Fog_y,Fog-Rain_y,Normal_y,Rain_y,Rain-Thunderstorm_y,max_temperature_f,mean_temperature_f,min_temperature_f,max_dew_point_f,mean_dew_point_f,min_dew_point_f,max_humidity,mean_humidity,min_humidity,max_sea_level_pressure_inches,mean_sea_level_pressure_inches,min_sea_level_pressure_inches,max_visibility_miles,mean_visibility_miles,min_visibility_miles,max_wind_Speed_mph,mean_wind_speed_mph,max_gust_speed_mph,precipitation_inches,cloud_cover,wind_dir_degrees,Fog,Fog-Rain,Normal,Rain,Rain-Thunderstorm
4,75,2013,8,3,78.0,71.0,64.0,62.0,61.0,60.0,87.0,71.0,54.0,30.08,30.04,29.99,10.0,10.0,10.0,20.0,8.0,23.0,0.0,4.0,355.0,0,0,1,0,0,0,78.0,71.0,64.0,62.0,61.0,60.0,87.0,71.0,54.0,30.08,30.04,29.99,10.0,10.0,10.0,20.0,8.0,23.0,0.0,4.0,355.0,0,0,1,0,0,78.0,71.0,64.0,62.0,61.0,60.0,87.0,71.0,54.0,30.08,30.04,29.99,10.0,10.0,10.0,20.0,8.0,23.0,0.0,4.0,355.0,0,0,1,0,0
9,75,2013,8,4,84.0,74.0,64.0,63.0,61.0,57.0,93.0,68.0,43.0,30.06,30.02,29.94,10.0,10.0,10.0,20.0,6.0,23.0,0.0,2.0,5.0,0,0,1,0,0,0,84.0,74.0,64.0,63.0,61.0,57.0,93.0,68.0,43.0,30.06,30.02,29.94,10.0,10.0,10.0,20.0,6.0,23.0,0.0,2.0,5.0,0,0,1,0,0,84.0,74.0,64.0,63.0,61.0,57.0,93.0,68.0,43.0,30.06,30.02,29.94,10.0,10.0,10.0,20.0,6.0,23.0,0.0,2.0,5.0,0,0,1,0,0
13,75,2013,8,5,76.0,69.0,62.0,61.0,59.0,57.0,87.0,71.0,54.0,30.01,29.97,29.92,10.0,10.0,10.0,21.0,8.0,25.0,0.0,0.0,353.0,0,0,1,0,0,1,76.0,69.0,62.0,61.0,59.0,57.0,87.0,71.0,54.0,30.01,29.97,29.92,10.0,10.0,10.0,21.0,8.0,25.0,0.0,0.0,353.0,0,0,1,0,0,76.0,69.0,62.0,61.0,59.0,57.0,87.0,71.0,54.0,30.01,29.97,29.92,10.0,10.0,10.0,21.0,8.0,25.0,0.0,0.0,353.0,0,0,1,0,0
19,75,2013,9,6,80.0,71.0,62.0,62.0,58.0,55.0,84.0,65.0,45.0,29.98,29.95,29.9,10.0,10.0,10.0,21.0,7.0,23.0,0.0,1.0,354.0,0,0,1,0,0,1,80.0,71.0,62.0,62.0,58.0,55.0,84.0,65.0,45.0,29.98,29.95,29.9,10.0,10.0,10.0,21.0,7.0,23.0,0.0,1.0,354.0,0,0,1,0,0,80.0,71.0,62.0,62.0,58.0,55.0,84.0,65.0,45.0,29.98,29.95,29.9,10.0,10.0,10.0,21.0,7.0,23.0,0.0,1.0,354.0,0,0,1,0,0
24,75,2013,9,0,76.0,71.0,65.0,63.0,61.0,60.0,87.0,76.0,64.0,29.99,29.95,29.91,10.0,10.0,10.0,20.0,7.0,22.0,0.0,5.0,337.0,0,0,1,0,0,0,76.0,71.0,65.0,63.0,61.0,60.0,87.0,76.0,64.0,29.99,29.95,29.91,10.0,10.0,10.0,20.0,7.0,22.0,0.0,5.0,337.0,0,0,1,0,0,76.0,71.0,65.0,63.0,61.0,60.0,87.0,76.0,64.0,29.99,29.95,29.91,10.0,10.0,10.0,20.0,7.0,22.0,0.0,5.0,337.0,0,0,1,0,0
26,75,2013,9,1,79.0,70.0,61.0,58.0,56.0,51.0,84.0,62.0,39.0,30.03,29.99,29.96,10.0,10.0,10.0,22.0,6.0,25.0,0.0,0.0,341.0,0,0,1,0,0,0,79.0,70.0,61.0,58.0,56.0,51.0,84.0,62.0,39.0,30.03,29.99,29.96,10.0,10.0,10.0,22.0,6.0,25.0,0.0,0.0,341.0,0,0,1,0,0,79.0,70.0,61.0,58.0,56.0,51.0,84.0,62.0,39.0,30.03,29.99,29.96,10.0,10.0,10.0,22.0,6.0,25.0,0.0,0.0,341.0,0,0,1,0,0
34,75,2013,9,2,79.0,70.0,60.0,59.0,56.0,54.0,84.0,65.0,45.0,30.06,30.02,29.97,10.0,10.0,10.0,24.0,6.0,26.0,0.0,0.0,324.0,0,0,1,0,0,0,79.0,70.0,60.0,59.0,56.0,54.0,84.0,65.0,45.0,30.06,30.02,29.97,10.0,10.0,10.0,24.0,6.0,26.0,0.0,0.0,324.0,0,0,1,0,0,79.0,70.0,60.0,59.0,56.0,54.0,84.0,65.0,45.0,30.06,30.02,29.97,10.0,10.0,10.0,24.0,6.0,26.0,0.0,0.0,324.0,0,0,1,0,0
39,75,2013,9,3,80.0,70.0,59.0,57.0,54.0,51.0,84.0,62.0,39.0,30.05,30.02,29.99,10.0,10.0,10.0,23.0,7.0,28.0,0.0,0.0,335.0,0,0,1,0,0,0,80.0,70.0,59.0,57.0,54.0,51.0,84.0,62.0,39.0,30.05,30.02,29.99,10.0,10.0,10.0,23.0,7.0,28.0,0.0,0.0,335.0,0,0,1,0,0,80.0,70.0,59.0,57.0,54.0,51.0,84.0,62.0,39.0,30.05,30.02,29.99,10.0,10.0,10.0,23.0,7.0,28.0,0.0,0.0,335.0,0,0,1,0,0
41,75,2013,9,4,88.0,73.0,57.0,57.0,54.0,51.0,84.0,57.0,29.0,30.02,29.93,29.84,10.0,10.0,10.0,14.0,4.0,17.0,0.0,0.0,350.0,0,0,1,0,0,0,88.0,73.0,57.0,57.0,54.0,51.0,84.0,57.0,29.0,30.02,29.93,29.84,10.0,10.0,10.0,14.0,4.0,17.0,0.0,0.0,350.0,0,0,1,0,0,88.0,73.0,57.0,57.0,54.0,51.0,84.0,57.0,29.0,30.02,29.93,29.84,10.0,10.0,10.0,14.0,4.0,17.0,0.0,0.0,350.0,0,0,1,0,0
47,75,2013,9,5,94.0,78.0,62.0,60.0,53.0,45.0,81.0,50.0,19.0,29.89,29.86,29.81,10.0,10.0,10.0,16.0,4.0,20.0,0.0,0.0,337.0,0,0,1,0,0,1,94.0,78.0,62.0,60.0,53.0,45.0,81.0,50.0,19.0,29.89,29.86,29.81,10.0,10.0,10.0,16.0,4.0,20.0,0.0,0.0,337.0,0,0,1,0,0,94.0,78.0,62.0,60.0,53.0,45.0,81.0,50.0,19.0,29.89,29.86,29.81,10.0,10.0,10.0,16.0,4.0,20.0,0.0,0.0,337.0,0,0,1,0,0
54,75,2013,9,6,83.0,73.0,62.0,60.0,58.0,54.0,84.0,62.0,39.0,29.9,29.85,29.78,10.0,10.0,10.0,14.0,4.0,16.0,0.0,1.0,326.0,0,0,1,0,0,1,83.0,73.0,62.0,60.0,58.0,54.0,84.0,62.0,39.0,29.9,29.85,29.78,10.0,10.0,10.0,14.0,4.0,16.0,0.0,1.0,326.0,0,0,1,0,0,83.0,73.0,62.0,60.0,58.0,54.0,84.0,62.0,39.0,29.9,29.85,29.78,10.0,10.0,10.0,14.0,4.0,16.0,0.0,1.0,326.0,0,0,1,0,0
55,75,2013,9,0,83.0,73.0,62.0,62.0,59.0,54.0,87.0,63.0,39.0,29.84,29.79,29.73,10.0,10.0,10.0,15.0,4.0,20.0,0.0,0.0,334.0,0,0,1,0,0,0,83.0,73.0,62.0,62.0,59.0,54.0,87.0,63.0,39.0,29.84,29.79,29.73,10.0,10.0,10.0,15.0,4.0,20.0,0.0,0.0,334.0,0,0,1,0,0,83.0,73.0,62.0,62.0,59.0,54.0,87.0,63.0,39.0,29.84,29.79,29.73,10.0,10.0,10.0,15.0,4.0,20.0,0.0,0.0,334.0,0,0,1,0,0
63,75,2013,9,1,78.0,70.0,62.0,63.0,59.0,54.0,90.0,70.0,50.0,29.92,29.82,29.76,10.0,10.0,9.0,17.0,7.0,21.0,0.0,3.0,18.0,0,0,1,0,0,0,78.0,70.0,62.0,63.0,59.0,54.0,90.0,70.0,50.0,29.92,29.82,29.76,10.0,10.0,9.0,17.0,7.0,21.0,0.0,3.0,18.0,0,0,1,0,0,78.0,70.0,62.0,63.0,59.0,54.0,90.0,70.0,50.0,29.92,29.82,29.76,10.0,10.0,9.0,17.0,7.0,21.0,0.0,3.0,18.0,0,0,1,0,0
67,75,2013,9,2,75.0,67.0,59.0,58.0,55.0,53.0,78.0,64.0,50.0,30.01,29.97,29.92,10.0,10.0,9.0,18.0,6.0,22.0,0.0,0.0,6.0,0,0,1,0,0,0,75.0,67.0,59.0,58.0,55.0,53.0,78.0,64.0,50.0,30.01,29.97,29.92,10.0,10.0,9.0,18.0,6.0,22.0,0.0,0.0,6.0,0,0,1,0,0,75.0,67.0,59.0,58.0,55.0,53.0,78.0,64.0,50.0,30.01,29.97,29.92,10.0,10.0,9.0,18.0,6.0,22.0,0.0,0.0,6.0,0,0,1,0,0
74,75,2013,9,3,73.0,67.0,61.0,60.0,57.0,55.0,84.0,73.0,61.0,30.0,29.97,29.91,10.0,10.0,10.0,18.0,6.0,22.0,0.0,4.0,353.0,0,0,1,0,0,0,73.0,67.0,61.0,60.0,57.0,55.0,84.0,73.0,61.0,30.0,29.97,29.91,10.0,10.0,10.0,18.0,6.0,22.0,0.0,4.0,353.0,0,0,1,0,0,73.0,67.0,61.0,60.0,57.0,55.0,84.0,73.0,61.0,30.0,29.97,29.91,10.0,10.0,10.0,18.0,6.0,22.0,0.0,4.0,353.0,0,0,1,0,0
77,75,2013,9,4,71.0,66.0,60.0,59.0,57.0,55.0,84.0,73.0,61.0,29.93,29.89,29.82,10.0,10.0,10.0,21.0,8.0,23.0,0.0,4.0,356.0,0,0,1,0,0,0,71.0,66.0,60.0,59.0,57.0,55.0,84.0,73.0,61.0,29.93,29.89,29.82,10.0,10.0,10.0,21.0,8.0,23.0,0.0,4.0,356.0,0,0,1,0,0,71.0,66.0,60.0,59.0,57.0,55.0,84.0,73.0,61.0,29.93,29.89,29.82,10.0,10.0,10.0,21.0,8.0,23.0,0.0,4.0,356.0,0,0,1,0,0
81,75,2013,9,5,71.0,65.0,59.0,57.0,55.0,53.0,84.0,75.0,66.0,29.87,29.83,29.79,10.0,10.0,10.0,18.0,6.0,22.0,0.0,4.0,353.0,0,0,1,0,0,1,71.0,65.0,59.0,57.0,55.0,53.0,84.0,75.0,66.0,29.87,29.83,29.79,10.0,10.0,10.0,18.0,6.0,22.0,0.0,4.0,353.0,0,0,1,0,0,71.0,65.0,59.0,57.0,55.0,53.0,84.0,75.0,66.0,29.87,29.83,29.79,10.0,10.0,10.0,18.0,6.0,22.0,0.0,4.0,353.0,0,0,1,0,0
